No,predictor 1,predictor 2,predictor 3,predictor 4,predictor 5,target
"2,398",10586,1348,450,1,4499.5,0
"2,399",2206,1356,419,3,1827.5,0
"2,400",20233,986,341.5,1,2657.5,1
"2,401",22719,974,,1,2577,0
"2,402",22920,1106,,1,3796,1
"2,403",15435,1262,473,5,2726.5,0
"2,404",17632,1106,274,1,3344.5,0
"2,405",27016,1096,328,11,777,0
"2,406",20795,1106,,1,3448.5,0
"2,407",26964,1094,330.5,3,1056.5,1
"2,408",5417,828,289,1,4208.5,0
"2,409",25789,1416,473,5,797.5,0
"2,410",5804,868,330.5,1,753.5,0
"2,411",21064,1192,388.5,3,2849,0
"2,412",2389,1194,396,3,3848.5,0
"2,413",6985,1166,449,1,2500.5,1
"2,414",10937,1218,445.5,1,2609.5,0
"2,415",23958,1284,,1,25,0
"2,416",8632,1180,309.5,3,3572,0
"2,417",4321,1112,341.5,7,1897.5,0
"2,418",24479,1132,274.5,1,311.5,1
"2,419",11500,906,370,5,4636,0
"2,420",26233,1170,465,1,1117.5,0
"2,421",11300,892,362.5,7,724,0
"2,422",19887,1090,404,5,2880,0
"2,423",23229,854,344,7,917,0
"2,424",1384,1334,398.5,3,4637,0
"2,425",4402,1234,482.5,3,3709,0
"2,426",1438,1310,473,3,667,0
"2,427",25909,1106,339,13,2905,0
"2,428",20856,1106,383,1,3978.5,0
"2,429",18392,1076,414.5,3,2741,0
"2,430",12083,948,347.5,7,274.5,0
"2,431",23981,1320,270.5,3,4672,0
"2,432",1329,1106,410,1,2970,0
"2,433",20299,1152,404,5,3413,0
"2,434",18991,704,307.5,9,2055.5,1
"2,435",23611,1120,362.5,3,1256.5,1
"2,436",11302,1106,424.5,3,1240,0
"2,437",27844,1086,383,3,1179.5,1
"2,438",6265,988,403.5,7,2050,0
"2,439",11442,1116,444,1,3447,1
"2,440",8804,944,,1,4858,0
"2,441",12222,1106,,1,2010.5,0
"2,442",3717,1106,,3,4456.5,0
"2,443",6765,1230,289,1,3345,0
"2,444",11660,1180,383,7,2390,0
"2,445",16022,1260,437.5,1,3136.5,0
"2,446",20227,1328,403.5,3,1167,0
"2,447",15220,878,,3,1794,0
"2,448",29183,1106,,1,3616,0
"2,449",4052,1198,353,5,3815.5,0
"2,450",25660,1074,364,1,3781,0
"2,451",16737,1256,398,3,2557.5,0
"2,452",25243,1110,330.5,3,1488.5,1
"2,453",2004,1106,451,3,3023,0
"2,454",3656,992,329.5,3,2344,0
"2,455",9321,1064,332.5,5,4465,0
"2,456",3099,1378,304.5,1,2346,0
"2,457",27622,1390,445.5,1,4683.5,0
"2,458",19957,884,,3,1127,1
"2,459",9251,1148,394,1,2068,0
"2,460",22785,1034,372,1,1004,0
"2,461",7651,1170,461.5,3,4542.5,0
"2,462",3521,1106,406,3,1329,0
"2,463",18202,1016,362.5,3,1529.5,0
"2,464",3076,1106,,1,3220.5,0
"2,465",8780,1290,381,3,822.5,0
"2,466",2190,1106,,1,3082,1
"2,467",12671,1244,400,1,3386.5,0
"2,468",29255,1048,362.5,11,1576,0
"2,469",25475,1036,,1,821.5,0
"2,470",24984,1362,459.5,1,1646,0
"2,471",27436,1064,417,3,459.5,0
"2,472",25259,1086,357,3,721.5,1
"2,473",6190,1284,441.5,1,2754.5,0
"2,474",6688,1126,482.5,1,4525.5,0
"2,475",23586,1400,444,1,3719,0
"2,476",6131,1232,406,3,3606.5,0
"2,477",21708,880,335.5,5,1471.5,0
"2,478",2296,956,341.5,3,4634.5,0
"2,479",29453,1044,348,5,1653.5,0
"2,480",11950,1270,485.5,5,2431,0
"2,481",3151,1188,307.5,7,90,0
"2,482",22707,1106,,1,731.5,0
"2,483",19125,1240,354.5,1,4851,0
"2,484",26336,1038,,3,324.5,0
"2,485",3801,1148,338.5,5,931.5,0
"2,486",24513,1104,368,1,941.5,0
"2,487",1997,1338,456.5,1,1634.5,0
"2,488",18777,938,412,3,772.5,0
"2,489",28292,1060,,3,4038.5,1
"2,490",7148,930,,3,3340,1
"2,491",2839,1040,438.5,1,3219.5,0
"2,492",11281,970,325,3,3786,0
"2,493",1898,1216,374,3,1403,0
"2,494",28185,732,,7,4212.5,1
"2,495",11908,1106,,11,521,1
"2,496",15457,1286,439,3,53,0
"2,497",11191,1016,349.5,7,4265,0
"2,498",7501,1122,330,1,2429.5,0
"2,499",7723,1104,258,7,2005.5,0
"2,500",29087,1398,451,3,392,0
"2,501",17449,818,414,1,95.5,0
"2,502",9454,892,214.5,3,947,0
"2,503",16917,1150,,9,3772,1
"2,504",20188,900,328,9,4606.5,1
"2,505",8869,1450,,1,4027,0
"2,506",17211,918,,3,4692,0
"2,507",29764,1106,,1,3855,0
"2,508",18644,1208,328,1,3429.5,1
"2,509",8665,1014,251.5,1,3393,1
"2,510",19833,1256,482.5,1,4480.5,0
"2,511",26065,1194,,1,699.5,0
"2,512",27870,1106,,5,4560.5,0
"2,513",18495,1178,,1,2560,0
"2,514",2027,982,413.5,5,497.5,0
"2,515",28990,1092,356.5,3,1833,1
"2,516",16123,1240,,7,2566,0
"2,517",2372,1106,,1,4804,0
"2,518",1559,890,,5,714.5,0
"2,519",18140,1024,417,5,1866.5,0
"2,520",14648,1344,,1,2803,0
"2,521",28354,1026,383,3,133.5,0
"2,522",9447,1106,248,1,4358,0
"2,523",12292,1166,441.5,5,638,0
"2,524",18298,1032,328,5,3698,0
"2,525",10346,1448,,3,982,0
"2,526",10328,996,,13,1899.5,0
"2,527",25232,1180,,5,2569,0
"2,528",16902,1106,355.5,3,515.5,0
"2,529",17709,1128,402.5,3,4692,0
"2,530",6744,1178,430.5,3,1030,0
"2,531",10245,1158,310,3,1173,0
"2,532",7180,1040,,1,2349,0
"2,533",6519,1106,362.5,1,3558,0
"2,534",6409,962,375,5,4546,0
"2,535",17144,1024,,13,2693.5,1
"2,536",5245,934,295.5,9,4388,1
"2,537",25945,1078,451,3,2142,0
"2,538",9147,1302,,1,390,0
"2,539",13228,1156,380.5,3,804.5,0
"2,540",8344,1142,,1,2082,0
"2,541",23060,1096,420.5,1,3444,0
"2,542",27134,1146,372.5,1,258,0
"2,543",28225,936,,7,4978,1
"2,544",9694,1006,295,1,4589.5,0
"2,545",13551,1106,335,1,4147,0
"2,546",21025,1204,,1,186.5,0
"2,547",27473,1220,,1,3521.5,0
"2,548",19916,1284,383,1,4318,0
"2,549",6744,1244,,7,3864.5,0
"2,550",17347,1194,315.5,5,1099,0
"2,551",18447,1106,,1,482.5,1
"2,552",23097,1252,411.5,1,3597,0
"2,553",5865,1102,402.5,3,1268,0
"2,554",11696,1106,,1,3214.5,0
"2,555",5426,1106,433,7,2960,1
"2,556",6334,1106,,3,4973.5,0
"2,557",15783,1450,,1,4427.5,0
"2,558",9242,1296,,1,4164,0
"2,559",11971,1082,,3,2879,0
"2,560",18112,1374,,7,316,1
"2,561",29636,1106,,1,3825,0
"2,562",8036,1106,,1,1479,0
"2,563",27762,1360,499.5,1,4644.5,0
"2,564",24365,982,296.5,9,4885.5,1
"2,565",25732,872,132.5,3,1257,1
"2,566",14890,726,363,1,773,1
"2,567",8705,1106,,1,4784,1
"2,568",27187,1284,394.5,7,4890,0
"2,569",27937,1302,355.5,7,1075.5,0
"2,570",10036,1136,355.5,3,3864.5,0
"2,571",23943,1326,380.5,3,4566.5,0
"2,572",9602,1106,,1,116,0
"2,573",25742,1046,412,3,171,0
"2,574",9427,1386,404,3,415.5,0
"2,575",26315,1102,377.5,3,1331.5,1
"2,576",6768,1164,338,3,3952,0
"2,577",26465,1106,,1,487.5,0
"2,578",21815,1012,430.5,11,79,1
"2,579",27312,1392,392,3,544,0
"2,580",5681,1088,,9,3299,0
"2,581",20482,1256,419,1,1313,0
"2,582",29996,1190,422.5,3,4049.5,0
"2,583",17373,1214,345,3,598.5,0
"2,584",29998,1276,406,3,4973.5,0
"2,585",11482,990,431,3,3259,0
"2,586",2677,940,193.5,3,335,0
"2,587",6183,1286,428.5,3,2722.5,0
"2,588",2298,840,400,1,572.5,0
"2,589",25099,1106,400.5,7,4391.5,0
"2,590",23209,1212,,3,648,0
"2,591",24072,1106,,1,3816,0
"2,592",18157,1144,328,5,1909.5,0
"2,593",3528,1178,406,3,2677,0
"2,594",19756,1056,,1,841,0
"2,595",26021,1106,,1,797,0
"2,596",7165,1138,339,5,1980.5,0
"2,597",6190,1088,394,1,2419.5,0
"2,598",29642,956,327,3,609.5,1
"2,599",18932,1176,,1,2385,0
"2,600",6140,1158,355.5,1,4472,0
"2,601",9947,1002,385.5,3,3870,1
"2,602",15980,1052,,7,649.5,0
"2,603",2958,912,383,3,3014.5,0
"2,604",23419,958,406,3,4382,0
"2,605",22622,920,438,3,4503,0
"2,606",2694,1106,,1,535.5,0
"2,607",26974,1316,,5,1868.5,1
"2,608",25993,1168,328,5,1017.5,0
"2,609",16675,1114,327,5,1338.5,0
"2,610",18299,1106,,5,4742.5,0
"2,611",14102,1002,409,1,4467.5,0
"2,612",1460,1370,349.5,1,1730.5,0
"2,613",11157,980,,17,3665,0
"2,614",12086,1242,452.5,1,86,0
"2,615",2775,1112,353,3,3527,0
"2,616",9653,1198,419,1,1980,0
"2,617",26952,1010,364.5,7,4062,0
"2,618",15863,1348,,5,3928,0
"2,619",25060,974,282,3,524.5,0
"2,620",24807,1352,451,3,3639,0
"2,621",22291,1450,383,7,3605.5,0
"2,622",8042,1222,380.5,17,1821,0
"2,623",2499,1068,328,11,2809,0
"2,624",12629,1106,,3,683.5,1
"2,625",25902,654,233,1,784,0
"2,626",24008,832,353.5,1,1108.5,0
"2,627",10842,1450,419,1,352.5,0
"2,628",4167,1124,344,13,2222,0
"2,629",24493,1176,274.5,5,1286,0
"2,630",9892,1106,330.5,1,716,0
"2,631",13023,1006,,3,3457.5,0
"2,632",8642,1282,466,1,3401.5,0
"2,633",5509,1234,444,3,56,0
"2,634",18418,1272,,3,2422.5,1
"2,635",24090,1084,412,1,4754.5,0
"2,636",3235,918,,5,3323,0
"2,637",23817,1206,409.5,1,2452,0
"2,638",20457,872,342.5,5,4234,1
"2,639",1193,1082,,3,4840,0
"2,640",17123,1160,413.5,1,4144,0
"2,641",12614,1106,400.5,7,311,0
"2,642",18562,1106,,7,773,1
"2,643",5764,1290,449,1,3957,0
"2,644",12835,1106,,1,510,0
"2,645",19250,1316,390.5,1,447,0
"2,646",7244,1106,383,1,4399,0
"2,647",19889,1078,379.5,7,4950.5,0
"2,648",19963,1172,400.5,17,1036,0
"2,649",26197,1106,,1,3557,0
"2,650",8944,1078,328,17,4044.5,0
"2,651",29543,1180,451.5,1,3914.5,0
"2,652",25384,1288,290.5,1,3583,0
"2,653",24772,1016,372,1,1073,0
"2,654",13517,920,,9,4552.5,0
"2,655",13910,964,341,1,868,0
"2,656",16502,1106,410,3,2634,1
"2,657",2861,1006,473,5,1216.5,0
"2,658",13007,1086,328,7,2225.5,0
"2,659",8716,1206,437.5,1,1670.5,0
"2,660",14688,1148,475.5,1,3731,0
"2,661",18230,1250,431,1,4356,0
"2,662",11904,1254,,7,968,0
"2,663",1902,1106,,1,1060.5,0
"2,664",9221,1248,379,1,3358,0
"2,665",4119,1106,475.5,1,2234.5,0
"2,666",14398,964,286,9,1423.5,1
"2,667",15439,1106,,1,89,1
"2,668",20065,1050,185,23,121,1
"2,669",28197,1106,428.5,1,35.5,0
"2,670",6725,1212,341.5,5,2152,0
"2,671",6726,1106,383.5,1,1260.5,1
"2,672",11627,1182,445.5,3,2125.5,0
"2,673",12882,1106,458,13,147.5,0
"2,674",27732,1106,,1,3154,0
"2,675",14431,1368,,1,314.5,0
"2,676",5249,1180,437.5,1,4020,0
"2,677",25245,1274,420,3,2453,0
"2,678",18956,1122,406,7,1253,0
"2,679",16691,900,312.5,5,3385,0
"2,680",20519,960,391.5,1,409,0
"2,681",1037,1026,400,1,2977.5,0
"2,682",6285,1414,439,1,4457,0
"2,683",5526,818,,5,4720,1
"2,684",29672,1196,327,1,1416,0
"2,685",19142,1106,,1,1621,0
"2,686",4308,1162,437.5,1,2551,0
"2,687",9962,1106,,1,4355.5,0
"2,688",22199,1106,,1,4975.5,1
"2,689",3268,1022,399,1,4703,0
"2,690",27849,1160,371,7,505,1
"2,691",22198,1012,243.5,3,1634,0
"2,692",28945,1088,335,1,3399,0
"2,693",25271,1104,,1,2132.5,0
"2,694",12418,1106,452.5,1,3541.5,1
"2,695",28266,1106,,1,4900.5,0
"2,696",18143,1156,347,1,2277,0
"2,697",2313,1106,,3,1136.5,0
"2,698",27881,1416,482.5,1,840,0
"2,699",22086,1106,,3,314.5,0
"2,700",21152,1044,,5,668,1
"2,701",26720,1038,304,19,584,1
"2,702",19026,1192,328,7,2847,0
"2,703",6411,1034,,1,755,0
"2,704",25885,844,214,3,460.5,1
"2,705",11599,1106,,1,2511,0
"2,706",13492,1106,406,3,3042,0
"2,707",11450,1020,310,5,786,1
"2,708",19052,1054,333,5,1164,0
"2,709",1291,868,221.5,5,2852,1
"2,710",26592,1056,378,7,1512.5,0
"2,711",5613,1170,357,1,1160.5,0
"2,712",14242,1140,341.5,1,2880,0
"2,713",7986,1142,432,7,1669.5,0
"2,714",16216,1396,,7,4537,0
"2,715",23380,1214,301.5,3,1642.5,0
"2,716",18958,1206,394.5,1,2165.5,0
"2,717",20988,1070,,5,1049.5,1
"2,718",7906,966,348,3,2291,0
"2,719",8679,1188,,3,4882,0
"2,720",13483,1160,430.5,13,2483.5,1
"2,721",9641,1408,,3,317,0
"2,722",12813,1178,357,3,2347,0
"2,723",24323,968,,7,3255.5,0
"2,724",26394,1190,,1,2838.5,0
"2,725",12943,924,286,5,1480.5,1
"2,726",26722,1120,449.5,1,2598,0
"2,727",3173,1164,277,1,4884.5,0
"2,728",14800,1106,,1,2564,0
"2,729",20367,1286,377.5,1,1398,0
"2,730",11521,1086,430,3,4818,0
"2,731",8394,1290,366,1,996,0
"2,732",5157,1354,372.5,1,1728.5,0
"2,733",3635,1056,403,1,4217,0
"2,734",26827,1052,417,3,3627.5,0
"2,735",3631,1332,,1,4913.5,0
"2,736",9140,1106,,1,4696,0
"2,737",20314,1170,,3,4026.5,0
"2,738",5803,1312,482,1,306.5,0
"2,739",13464,902,,1,1425.5,1
"2,740",27591,1114,374,5,4052.5,0
"2,741",20184,1382,441.5,3,3890,0
"2,742",4977,1446,424.5,1,2786,0
"2,743",24314,1106,473,1,1582.5,0
"2,744",18761,1046,,1,962.5,1
"2,745",21873,1004,217.5,9,3110.5,1
"2,746",15960,1074,283.5,1,4088.5,0
"2,747",17904,1224,451,5,2981,0
"2,748",27015,818,325,3,2594,0
"2,749",1200,1022,237,3,568,0
"2,750",20573,1106,,1,3622,0
"2,751",25716,848,288,5,651,0
"2,752",1641,1106,466.5,1,2891.5,0
"2,753",2261,1338,379.5,3,506.5,0
"2,754",1959,1016,451,1,4785.5,0
"2,755",7428,1106,325,1,488,1
"2,756",22896,1152,,1,2365,0
"2,757",4006,1142,373.5,3,1909,1
"2,758",29154,1314,357,1,3480,0
"2,759",18676,1106,465,1,190.5,0
"2,760",16411,1084,297,5,945.5,0
"2,761",16212,1378,362.5,3,680.5,0
"2,762",12765,1240,401,1,2382,0
"2,763",19482,1106,,1,1360,1
"2,764",16290,994,385,1,1106,1
"2,765",19773,1186,430,9,3219.5,0
"2,766",23277,1106,368.5,1,743.5,0
"2,767",1047,1192,419,1,1124.5,0
"2,768",10542,1106,,1,2064.5,1
"2,769",12173,1256,451,1,1928.5,1
"2,770",11093,938,,3,1289,0
"2,771",5715,1230,362.5,1,864,0
"2,772",7872,1270,432,3,2145.5,0
"2,773",15652,1098,355.5,1,4971.5,0
"2,774",19195,1292,411,3,2060.5,0
"2,775",15500,1026,356.5,7,2839.5,0
"2,776",9311,1264,405.5,1,1120,0
"2,777",17048,1046,295.5,5,3794,0
"2,778",25433,1106,,1,112,0
"2,779",23398,1260,404,1,736,0
"2,780",29119,1092,431,5,3644.5,0
"2,781",29144,1240,356,9,3436.5,1
"2,782",14558,744,205.5,1,118,0
"2,783",4660,1358,,3,4661,0
"2,784",12734,998,335.5,1,1139.5,0
"2,785",4612,1244,,1,2229,0
"2,786",24407,1054,406,1,2609,1
"2,787",3552,936,319.5,11,992,1
"2,788",6033,1040,285.5,3,2310.5,1
"2,789",28961,1106,440,1,3271.5,0
"2,790",28395,1106,,3,371,0
"2,791",11910,1196,,3,2910.5,0
"2,792",5753,1334,465,3,463.5,0
"2,793",23310,1226,,1,4774.5,1
"2,794",14874,1188,367,3,1298,1
"2,795",28749,1350,425,1,182.5,0
"2,796",15520,968,226,3,1581.5,0
"2,797",5796,1084,332,3,3976,1
"2,798",10358,1272,438.5,1,1806.5,0
"2,799",5009,1106,,1,2205.5,0
"2,800",6274,886,205.5,1,4620,1
"2,801",19159,1106,,3,3705,0
"2,802",26267,1106,,1,3565.5,0
"2,803",23574,1142,328,3,3679.5,1
"2,804",25506,1006,307,5,527.5,0
"2,805",26748,956,255.5,1,2207.5,0
"2,806",12322,1310,445.5,5,2194,0
"2,807",19852,1064,301,1,4777,0
"2,808",2874,850,380,1,4998.5,0
"2,809",27076,1130,258.5,5,1970,0
"2,810",11823,1292,422.5,1,4821.5,0
"2,811",20736,1354,503,5,4067.5,0
"2,812",13328,1106,485.5,1,1265.5,0
"2,813",23064,1292,442,3,2307,0
"2,814",26356,1106,,1,4254.5,1
"2,815",6660,1066,342,3,784.5,0
"2,816",18121,1106,,1,45,0
"2,817",12654,1076,326.5,1,1399,1
"2,818",9385,876,323.5,7,3108,0
"2,819",4021,944,271.5,9,1495,1
"2,820",10605,860,328,3,3080.5,1
"2,821",3305,1400,,1,3554.5,0
"2,822",2781,862,330.5,9,4241,1
"2,823",4137,826,277,3,419.5,1
"2,824",26549,1010,230,3,4985,0
"2,825",19351,1060,,1,2804,1
"2,826",7160,1150,325,9,4767,0
"2,827",4296,1076,384.5,3,4517,0
"2,828",9589,1416,409,3,2270,0
"2,829",7144,1174,421.5,1,4605,0
"2,830",5414,1150,393,1,4628.5,0
"2,831",6423,1096,452.5,3,2406,0
"2,832",15680,874,377.5,21,329,1
"2,833",26488,1120,458.5,1,2861.5,0
"2,834",2280,1238,408,1,1773.5,0
"2,835",1409,1180,372,5,1984.5,0
"2,836",28471,962,341,3,997,0
"2,837",13014,1134,,1,3535.5,0
"2,838",20344,1106,459.5,1,3825.5,0
"2,839",16129,1106,,1,559,0
"2,840",4732,1156,362.5,3,24.5,0
"2,841",10389,1038,321.5,1,3724,0
"2,842",1015,1178,301,9,2693.5,0
"2,843",23523,1244,295.5,9,1788.5,0
"2,844",15517,890,402.5,5,748,0
"2,845",1612,1324,,1,3006.5,0
"2,846",20070,1350,289,1,4388,0
"2,847",23562,1172,344.5,1,1115,0
"2,848",2953,1106,348,9,4761.5,0
"2,849",9379,728,157.5,1,599.5,1
"2,850",6255,1270,400.5,19,171,1
"2,851",4025,1222,409,1,2850,0
"2,852",3444,1400,422,1,795,0
"2,853",8830,784,323.5,3,4507,0
"2,854",9769,1414,465,1,4270,0
"2,855",26677,1372,473,3,439,0
"2,856",8430,860,372.5,1,3771,0
"2,857",27160,970,345.5,1,3026.5,0
"2,858",4393,1192,386,1,1126.5,0
"2,859",29838,1196,430,5,1015,1
"2,860",28952,1394,462.5,7,4415,0
"2,861",9523,978,379,3,1086,0
"2,862",24924,1316,458.5,3,4591,0
"2,863",28612,1272,443.5,1,2710.5,0
"2,864",29193,1192,430.5,1,2330,0
"2,865",25865,1106,,1,4895,0
"2,866",17531,1008,372,7,4948,1
"2,867",14064,1186,441.5,1,2853,0
"2,868",12189,1442,452.5,3,2663,0
"2,869",3024,1264,318,1,3797,0
"2,870",10415,750,185,9,1165,0
"2,871",28808,960,,1,2431.5,0
"2,872",18668,992,,1,2040,0
"2,873",6855,1248,321,1,3290,1
"2,874",9372,1106,,1,8.5,0
"2,875",17193,1282,381.5,1,3704,1
"2,876",16940,1232,,1,2760.5,0
"2,877",14491,1086,330.5,9,248,1
"2,878",24550,1106,372.5,3,3238.5,0
"2,879",22970,1360,,7,1095.5,0
"2,880",20244,824,283.5,7,660.5,0
"2,881",7545,1384,424.5,1,4843,0
"2,882",21931,1124,328,7,3609.5,0
"2,883",11778,1106,,1,2794,0
"2,884",14938,992,321.5,7,4948.5,0
"2,885",25561,994,309,7,4030,0
"2,886",20934,984,300.5,1,4044.5,1
"2,887",8012,1182,230.5,9,377,0
"2,888",19688,1186,458.5,1,4258,0
"2,889",2334,922,271.5,3,319.5,0
"2,890",26963,1024,273.5,3,2788.5,1
"2,891",22443,968,310,7,2883,1
"2,892",22553,1142,,3,2253,0
"2,893",6093,1034,482,1,707,0
"2,894",15824,1096,323,7,1981.5,0
"2,895",14760,1110,305.5,1,2000,0
"2,896",14768,1048,352.5,7,3235,0
"2,897",14078,1048,314,9,3190,0
"2,898",3543,1358,473,3,3769,0
"2,899",16110,1192,442,1,1695,0
"2,900",10695,1178,300.5,3,287,0
"2,901",7752,1106,,1,512,1
"2,902",13662,886,362.5,1,354.5,0
"2,903",1866,1150,263,1,3478.5,0
"2,904",5350,852,157,3,2708.5,0
"2,905",8135,1254,401.5,1,2432,0
"2,906",3270,1276,431.5,5,3109,0
"2,907",26810,1372,400,3,705,0
"2,908",16271,1106,,1,3976,0
"2,909",26411,1292,422.5,1,2066,0
"2,910",2000,1398,,1,2381.5,0
"2,911",7007,1334,477,1,954,0
"2,912",27671,1418,383,3,661,1
"2,913",17886,1104,336,11,3665.5,0
"2,914",27530,1106,362.5,9,2151,1
"2,915",16867,762,330.5,5,316,0
"2,916",18041,1166,272.5,7,3686.5,0
"2,917",26891,982,,3,4436,0
"2,918",8542,1122,368.5,3,854.5,0
"2,919",14810,1106,423.5,1,357.5,0
"2,920",29626,1124,469.5,1,2533.5,0
"2,921",8577,1184,385.5,1,4735.5,0
"2,922",11583,1180,,1,3212,0
"2,923",23857,876,,3,1702,1
"2,924",7632,856,280,1,1788,1
"2,925",4978,932,324.5,11,994.5,1
"2,926",13747,1266,383,5,4311.5,0
"2,927",9459,1214,364,3,293.5,0
"2,928",13470,1214,328,11,4227.5,1
"2,929",27513,1106,500.5,1,2541,0
"2,930",12440,864,353,11,3246,0
"2,931",25676,1266,386,1,1956.5,0
"2,932",11754,1432,482.5,1,192.5,0
"2,933",23920,952,239.5,11,3947,1
"2,934",6848,1324,,3,2954,0
"2,935",16432,998,289,3,2427.5,0
"2,936",3398,1106,,1,4923,0
"2,937",13386,1246,400.5,1,1193.5,0
"2,938",2677,834,217.5,11,3946,1
"2,939",8512,960,247,19,3787.5,1
"2,940",8525,1106,,1,1517.5,0
"2,941",18311,1398,404,3,2842,0
"2,942",5015,918,177,3,2171,1
"2,943",23479,1036,371,5,1091,0
"2,944",13313,1100,303.5,9,138.5,0
"2,945",13682,1152,362.5,7,1117,0
"2,946",13225,982,324.5,11,3939.5,1
"2,947",4211,1078,296.5,3,987,0
"2,948",9646,1106,,1,445,0
"2,949",7299,832,185,1,3685,0
"2,950",24850,1362,371,3,2179.5,0
"2,951",21740,1026,332,11,957,0
"2,952",7985,1394,380,1,1239,0
"2,953",4869,1106,,1,1860.5,0
"2,954",7298,1200,,1,358.5,0
"2,955",24020,1202,277,3,4187.5,0
"2,956",28375,1026,361.5,1,4961,0
"2,957",24279,1106,,1,3932.5,1
"2,958",25696,1106,,1,4450.5,0
"2,959",25142,1106,,7,3363.5,0
"2,960",2720,1072,438.5,1,1384.5,0
"2,961",6247,810,307.5,13,1440,1
"2,962",14940,1080,364.5,3,3147.5,0
"2,963",19681,1304,,1,3601,0
"2,964",12891,1106,445.5,3,819.5,0
"2,965",8390,1106,323.5,1,2063,0
"2,966",23326,956,325,7,3585.5,0
"2,967",26211,1106,458.5,1,2657.5,0
"2,968",24121,1228,398.5,3,2160,0
"2,969",4546,1092,383,3,4869,0
"2,970",20465,1160,380.5,1,644.5,0
"2,971",20257,978,425,25,1415,0
"2,972",17765,1106,,1,760,0
"2,973",15431,1098,,3,4858.5,1
"2,974",18606,1106,475.5,1,3117.5,0
"2,975",2869,1278,411.5,1,2536.5,0
"2,976",5419,900,441.5,5,2121.5,1
"2,977",10575,960,354.5,1,2303.5,0
"2,978",9389,1054,385.5,1,2500.5,0
"2,979",6362,1140,391.5,3,1632,0
"2,980",18257,804,232.5,1,714,1
"2,981",2025,1400,,1,2778,0
"2,982",13280,1368,475.5,1,286,0
"2,983",11056,864,400.5,5,3284,0
"2,984",22209,1388,447.5,1,4997,0
"2,985",16279,1252,327,1,1691.5,0
"2,986",6761,1106,,1,281,1
"2,987",15198,1074,,1,2479,1
"2,988",3408,1106,,1,1939.5,0
"2,989",16334,1106,430.5,3,4741,0
"2,990",2647,1130,403,5,4735.5,0
"2,991",26250,1354,401.5,1,508.5,0
"2,992",27111,1040,325,7,486.5,0
"2,993",10924,886,237,5,4028,0
"2,994",19650,1370,,3,1274.5,0
"2,995",10089,1078,328,5,1931.5,1
"2,996",6564,930,406,3,3022.5,0
"2,997",7859,1380,,1,295,0
"2,998",19418,1012,304.5,3,450,0
"2,999",18601,1106,,1,1121.5,0
"3,000",20952,1106,,1,3208.5,0
"3,001",27398,1106,,1,201,0
"3,002",18482,1114,452,3,4765,0
"3,003",21757,1308,356,1,2598,1
"3,004",27919,934,,1,24.5,0
"3,005",3792,1106,,1,1195,0
"3,006",2223,1208,447.5,3,2670.5,0
"3,007",22243,1286,374,1,3460.5,0
"3,008",10113,1148,274,7,2053,0
"3,009",13988,1058,358.5,5,4626.5,0
"3,010",8787,1310,327,1,4677.5,0
"3,011",12573,1366,430.5,1,2486.5,0
"3,012",3741,1362,328,1,323.5,0
"3,013",14529,1046,335.5,1,4567.5,1
"3,014",26980,1034,239,5,1795.5,0
"3,015",29371,1106,404,1,2546,0
"3,016",12883,1084,349.5,5,3923,0
"3,017",25183,854,362.5,5,1026.5,0
"3,018",2356,1108,178,5,1096,1
"3,019",27156,1326,451,1,916.5,0
"3,020",4050,1106,,1,166.5,0
"3,021",24126,1106,,5,1785.5,0
"3,022",6222,1106,345.5,9,251,0
"3,023",19791,1106,,1,2443,0
"3,024",23732,1106,424.5,1,1353.5,0
"3,025",27524,1094,287,3,1600,0
"3,026",4619,1088,342,3,451.5,1
"3,027",6299,1194,385.5,11,2374,0
"3,028",7704,1106,,1,3652,0
"3,029",8475,810,328,3,2914.5,0
"3,030",26329,1308,377.5,3,1816,0
"3,031",22103,1170,330.5,15,4832.5,1
"3,032",25056,1230,451,9,1697,0
"3,033",27365,1158,404,3,1676.5,0
"3,034",16425,1208,400.5,3,1851,0
"3,035",2423,988,411.5,3,1909,0
"3,036",5171,1390,465,3,1777,0
"3,037",8033,1270,411.5,7,3023.5,0
"3,038",17585,1106,465,3,494,0
"3,039",18336,1106,292,1,3636,0
"3,040",7578,1180,434.5,3,4539.5,0
"3,041",10830,1286,,1,233.5,0
"3,042",5864,1270,385.5,9,1603,0
"3,043",17338,1216,345.5,3,1349.5,0
"3,044",28892,1108,293.5,5,570,0
"3,045",9595,1106,462,3,1095.5,1
"3,046",20136,1106,,3,163,0
"3,047",24606,1376,417,1,3307,0
"3,048",27691,1120,437.5,5,1294,1
"3,049",26402,1214,477,1,762.5,0
"3,050",27162,1014,368.5,3,3925.5,0
"3,051",5550,1080,377,3,2897,1
"3,052",24573,1166,312.5,3,3189.5,0
"3,053",15770,1106,473,1,1122,0
"3,054",1466,1214,,1,449.5,0
"3,055",10109,1106,464.5,3,2724,0
"3,056",28043,1010,202,3,3440.5,0
"3,057",15583,1106,406,1,154,0
"3,058",9116,744,,5,104.5,1
"3,059",5580,720,,5,2919,1
"3,060",2876,1106,300.5,1,3286,0
"3,061",10411,1028,306,3,1491.5,0
"3,062",26946,1270,456.5,3,4930,0
"3,063",29687,1050,368.5,7,1185,0
